17:10:18 	内存:8.04\11.87 	分页:2.38\6.62	>>> Hsr: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\HSR/201806260006.dat  
17:21:35 	内存:10.12\11.83 	分页:4.90\6.63	>>> Vil: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\VIL/201806260012.dat  
17:34:02 	内存:8.05\11.90 	分页:2.37\6.63	>>> Hsr: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\HSR/201806260006.dat  
17:50:32 	内存:8.39\10.10 	分页:3.17\4.90	>>> Et: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\ET/201806260018.dat  
17:50:32 	内存:8.39\10.10 	分页:3.17\4.90	>>> ET product in generated  
18:22:45 	内存:8.40\10.11 	分页:3.17\4.90	>>> ET product in generated  
18:33:38 	内存:35.55\35.55 	分页:30.22\30.23	>>> Scit: Alg running for seconds: 0  
18:55:18 	内存:10.12\11.83 	分页:4.89\6.63	>>> Vil: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\VIL/201806260054.dat  
19:06:09 	内存:8.03\11.87 	分页:2.35\6.62	>>> Hsr: Success to output temp data  
19:06:09 	内存:8.04\11.87 	分页:2.38\6.62	>>> Hsr: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\HSR/201806260100.dat  
19:17:06 	内存:8.40\10.11 	分页:3.16\4.89	>>> Et: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\ET/201806260106.dat  
19:28:00 	内存:8.40\10.11 	分页:3.17\4.90	>>> ET product in generated  
19:38:42 	内存:8.04\11.89 	分页:2.37\6.63	>>> Hsr: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\HSR/201806260118.dat  
19:49:37 	内存:35.40\35.40 	分页:30.06\30.06	>>> SCIT product in generated  
19:49:37 	内存:12.45\15.86 	分页:6.70\10.15	>>> Qpr: Success to output temp data  
20:22:20 	内存:8.05\11.90 	分页:2.37\6.63	>>> Hsr: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\HSR/201806260142.dat  
20:33:08 	内存:10.13\11.83 	分页:4.89\6.63	>>> Vil: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\VIL/201806260148.dat  
20:33:08 	内存:10.13\11.83 	分页:4.89\6.63	>>> ET product in generated  
21:16:27 	内存:12.41\15.84 	分页:6.70\10.16	>>> Qpr: Success to output temp data  
22:09:57 	内存:8.39\10.10 	分页:3.17\4.90	>>> Et: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\ET/201806260242.dat  
22:42:14 	内存:7.52\35.99 	分页:2.30\30.85	>>> Cr: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\CR/201806260300.dat  
22:52:59 	内存:8.41\10.11 	分页:3.17\4.90	>>> Et: Success to output product of local format-O:\Gongfu-20180626-HuaBei\prod\ET/201806260306.dat  
22:53:00 	内存:35.48\35.48 	分页:30.14\30.14	>>> SCIT product in generated  
23:35:48 	内存:8.39\10.10 	分页:3.16\4.89	>>> ET product in generated  
23:35:51 	内存:8.04\11.88 	分页:2.37\6.62	>>> Hsr: Success to output temp data  
